,Boston,Cambridge
69,fire-proof-boston-housing,Neighborhood-Census-Data/2010-Percent-Race-by-Neighborhood/ae6i-ua5z
70,food-establishment-inspections,Budget-Finance/Capital-Project-Details-List/2r9a-3k
71,fy16-cob-gen-fund-budget,General-Government/State-and-Presidential-Elections-November-6-2012/t4av-baey
72,fy17-adopted-budget-data,Neighborhood-Census-Data/2010-Neighborhood-Population-Density/r4pm-qqj
73,fy17-cob-gen-fund-budget,Traffic-Parking-and-Transportation/Intersections/8m9a-yuzk
74,groundwater-conservation-overlay-district,Catalog/px2x-xv8
75,hospital-locations,Geographic-Information-GIS-/Historical-National-Register-Historic-Places/5sr7-s4r8
76,hubway-stations,Inspectional-Services/Dumpster-License-Violations-Ord-1329-Chp-8-25-/gyig-vxk
77,hubway-system-data,Transportation-Planning/Resident-Workforce-Commuting-Mode-Split-since-1990/4wd7-ic9
78,hydrography-line,Neighborhood-Census-Data/2010-Census-Data-by-Neighborhood-Raw-Data/wjrh-wz
79,hydrography-polygon,Transportation-Planning/Laborforce-Commuting-Mode-Split-by-Demographic-Tre/wfre-hbsk
80,liquor-licenses,Public-Safety/Medical-Events-DataLens/wkt9-3j
81,live-street-address-management-sam-addresses,General-Government/Civic-Innovation-Challenge-Inventory/x96z-hdn
82,main-street-districts,Neighborhood-Census-Data/2010-Age-Distribution-by-Neighborhood/jegi-6359
83,master-address-list,Geographic-Information-GIS-/Street-Sweeping-Districts/upm7-2w6
84,mayors-24-hour-hotline,Geographic-Information-GIS-/Cambridge-Address-Points/vrbg-4zmn
85,municipal-building-energy-reporting-berdo,Housing/2016-Housing-Stock-and-Residential-Properties-by-N/wiba-69u
86,non-public-schools,Geographic-Information-GIS-/LED-Cobrahead-Street-Lights/jvr3-7y9q
87,open-and-protected-data-policy,Traffic-Parking-and-Transportation/Commercial-Parking/t8tm-mun
88,open-space,Neighborhood-Census-Data/1980-2010-Census-Data-by-Neighborhood/veht-2mk
89,parcels-2016-data-full,Transportation-Planning/Laborforce-Commuting-Mode-Split-since-1990/8acn-zxj
90,parcels-2017-data-full,
91,parcels-2017-data-full1,
