,Chicago,Evanston,Naperville,Cook County
148,Education/Connect-Chicago-Locations-Map/4jzv-,,,
149,Environment-Sustainable-Development/Green-Roofs-Map/u23m-pa73,,,
150,Environment-Sustainable-Development/Array-of-Things-Locations-Map/2dng-xkn,,,
151,Community-Economic-Development/Map-of-Grocery-Stores-2013/ce29-twz,,,
152,Public-Safety/Crimes-2001/8v97-un,,,
153,Sanitation/Street-Sweeping-Schedule-2012/k3hy-v5xb,,,
154,Health-Human-Services/Senior-Centers-Map/8ayb-6mj,,,
155,Buildings/Vacant-and-Abandoned-Buildings-Violations/kc9i-wq85,,,
156,Community-Economic-Development/Affordable-Rental-Housing-Developments/dkgm-i9,,,
157,Community-Economic-Development/TIF-Balance-Sheets/hezc-e4be,,,
158,Transportation/Parking-Permit-Zones/u9xt-hiju,,,
159,Public-Safety/Boundaries-Police-Beats-current-/aerh-rz74,,,
160,Administration-Finance/Employee-Overtime-and-Supplemental-Earnings-2013/s9zb-nuc6,,,
161,Public-Safety/Crimes-2008/xa2r-b,,,
162,Administration-Finance/Budget-2012-Budget-Ordinance-Appropriations/8ix6-nb7q,,,
163,Public-Safety/Crimes-2009/qqw2-hwk,,,
164,Parks-Recreation/Forest-Preserves-Chicago/je6f-7464,,,
165,Facilities-Geographic-Boundaries/Population-by-2010-Census-Block/5yjb-v3mj,,,
166,Public-Safety/Crimes-2002/g9qy-h66j,,,
167,Public-Safety/Crimes-2007/7wwb-3vgm,,,
168,Public-Safety/Crimes-2006/mh59-yhwm,,,
169,Public-Safety/Crimes-2005/4guy-,,,
170,Health-Human-Services/Public-Health-Statistics-Diabetes-hospitalizations/vekt-28b5,,,
171,Facilities-Geographic-Boundaries/Boundaries-Census-Blocks-2010/mfzt-js4n,,,
172,Public-Safety/Crimes-2003/zjqd-uvk,,,
173,Administration-Finance/Budget-2014-Budget-Recommendations-Positions-and-S/q8h3-dju,,,
174,Public-Safety/Crimes-2004/vaxn-3im,,,
175,FOIA/FOIA-Request-Log-Law/44bx-n,,,
176,Health-Human-Services/Public-Health-Statistics-Asthma-hospitalizations-i/vazh-t57q,,,
177,Transportation/CTA-Ridership-L-Station-Entries-Monthly-Day-Type-A/t2rn-p8d7,,,
178,Transportation/CTA-L-Rail-Lines-Shapefile/53r7-y88m,,,
179,Facilities-Geographic-Boundaries/Boundaries-Neighborhoods/bbvz-uum9,,,
180,Parks-Recreation/Beach-Water-Quality-Automated-Sensors/qmqz-2xku,,,
181,FOIA/FOIA-Request-Log-Revenue/zrv6-,,,
182,Environment-Sustainable-Development/CDPH-Environmental-Inspections/i9rk-duv,,,
183,Transportation/Roadway-Construction-Moratoriums/ndbz-vy4e,,,
184,Administration-Finance/Budget-2012-Budget-Ordinance-Positions-and-Salarie/4n2t-us8,,,
185,Parks-Recreation/Parks-Shapefiles-deprecated-November-2016-/5msb-wbxn,,,
186,Parks-Recreation/Parks-Map-deprecated-November-2016-/2eaw-bdhe,,,
187,Transportation/Taxi-Trips-Dashboard/spcw-brbq,,,
188,Health-Human-Services/Hospitals-Chicago/ucpz-2r55,,,
189,Transportation/Chicago-Traffic-Tracker-Congestion-Estimates-by-Re/t2qc-9pj,,,
190,Transportation/Street-Center-Lines-Deprecated-July-2013-/xy4z-b6,,,
191,FOIA/FOIA-Request-Log-Health/4h87-z,,,
192,Transportation/Chicago-Traffic-Tracker-Historical-Congestion-Esti/77hq-hu,,,
193,Community-Economic-Development/TIF-Balances-by-Fiscal-Year/hz8p-ewk5,,,
194,Administration-Finance/Employee-Reimbursements/g5h3-jk,,,
195,Environment-Sustainable-Development/Map-of-CDPH-Environmental-Records-Lookup-Table/42mh-n5,,,
196,Transportation/Chicago-Traffic-Tracker-Historical-Congestion-Esti/emtn-qq,,,
197,Environment-Sustainable-Development/CDPH-Environmental-Complaints/fypr-ksnz,,,
198,Community-Economic-Development/Broadband-Innovation-Zones/jkfs-hw,,,
199,Historic-Preservation/Individual-Landmarks-Map/habu-n236,,,
200,Parks-Recreation/Beach-Weather-Stations-Automated-Sensors-2015-Wind/dayf-zcv,,,
201,Administration-Finance/Budget-2014-Budget-Ordinance-Appropriations/ub6s-xy6e,,,
202,Parks-Recreation/Waterways/bat8-9fu,,,
203,Administration-Finance/Employee-Overtime-and-Supplemental-Earnings-2014/9xua-tab,,,
204,FOIA/FOIA-Request-Log-Aviation/jbth-h7cm,,,
205,Administration-Finance/Budget-2015-Budget-Ordinance-Positions-and-Salarie/f338-e9n,,,
206,Buildings/Building-Footprints-current-/hz9b-7nh8,,,
207,FOIA/FOIA-Request-Log-Independent-Police-Review-Authori/gzxp-vdq,,,
208,Community-Economic-Development/Boundaries-Empowerment-Zones/m6ef-sjkj,,,
209,Public-Safety/Boundaries-Police-Districts-current-/fthy-xz3,,,
210,Administration-Finance/Budget-2016-Budget-Ordinance-Positions-and-Salarie/ipsp-k4x,,,
211,Community-Economic-Development/Active-Taxi-Vehicle-Models-Graph/hemf-zffe,,,
212,Environment-Sustainable-Development/CDPH-Environmental-Permits/ir7v-8mc8,,,
213,Administration-Finance/Budget-2014-Budget-Ordinance-Positions-and-Salarie/etzw-ycze,,,
214,Administration-Finance/Budget-2013-Budget-Recommendations-Appropriations/d6tb-pwze,,,
215,Buildings/Building-Footprints-deprecated-August-2015-/qv97-3bvb,,,
216,Transportation/Chicago-Traffic-Tracker-Congestion-Estimates-by-Se/n4j6-wkk,,,
217,Transportation/Taxi-Trips/wrvz-psew,,,
218,Community-Economic-Development/Public-Passenger-Vehicle-Licenses-Taxis-Only/gcze-gasw,,,
219,Transportation/CTA-Ridership-Annual-Boarding-Totals/w8km-9pz,,,
220,Administration-Finance/Budget-Positions-and-Salaries-in-2011-Appropriatio/6xus-9vdn,,,
221,Transportation/CTA-System-Information-List-of-L-Stops/8pix-ypme,,,
222,Environment-Sustainable-Development/CDPH-Asbestos-and-Demolition-Notification/qhb4-qx8k,,,
223,Education/Connect-Chicago-Locations/bmus-hp7e,,,
224,Administration-Finance/Budget-2015-Budget-Ordinance-Appropriations/qnek-,,,
